Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001nUI9kQAG/view"", ""Gtec Software"")",Mexico,Premier,0,$0.00,0,32,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1EZnt1WcCok5cJrJEWveOFlzeYl2O8RBeuIirSLAF-wY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h32hhQAA/view"", ""MERITI SRL"")",Argentina / Uruguay,Premier,3,"$62,640.00",48,4,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1XWCiR3lXhXaWg5PeKe_FiafR3UJcVkhncH6dfwu9zmI/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3BK7QAM/view"", ""CLOUDMASTERS"")",Uruguay / Paraguay,Premier,6,"$164,342.00",74,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1GuPSV0ez4dSjkMhqedfC--6fJhZ_QjFTdPq8xZdKqwE/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001Foc0xIAB/view"", ""Aleon Inteligencia de Dados Ltda"")",Brazil,Premier,0,$0.00,9,0,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1ZI3wRYGMoIUzwzencOzFHocsjs1ol_RHWQ2CY3NYOec/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf0000149odXIAQ/view"", ""IEBT (Inst. Desenv. Empresas Base Tecnológica)"")",Brazil,Premier,8,"$245,000.00",0,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1CiiS80JshMfmKxH0cGsU62esFizrWzVHutoGevYiCnI/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h36alQAA/view"", ""El Ultimo Geek S.A. de C.V. (Edvolution)"")",Mexico / Colombia,Premier,4,"$105,000.00",0,3,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/10nnUakdAQeJlJbl5Js1i42T1ZE5yeEIILC6RbWwh_MY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002OTvKOQA1/view"", ""Fluentcore, LLC (Fluent Data)"")",US / LATAM,Premier,15,"$950,610.67",86,26,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1LuDS9RncWUJr9J3W3jU12xWl91a7l8LyvW8_lepOCXE/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002BySblQAF/view"", ""Ideen Tecnologia LTDA"")",Brazil,Premier,4,"$546,400.00",4,11,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1CnCAB-HdwTDYsloqp6jS0TMYbpzh25amMii464K9JYg/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3BgpQAE/view"", ""Inteligência de Negócios (NowVertical)"")",Brazil,Premier,0,$0.00,0,20,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1f2ogioAjCrG0pgT8LllJ8eyjHKjVZEiB5oo744BMThY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001n6BJiQAM/view"", ""InventCloud Tecnologia Ltda"")",Brazil,Premier,1,"$50,000.00",0,5,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Kpw20SV3_xC4lxjHrUj-PLCjbX40vSIbP_jFlPK841c/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h36YTQAY/view"", ""Incubeta México"")",Mexico / Regional,Premier,0,$0.00,55,13,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/11XPWWAin2WzNKXkVGX3SZjU71zHGLxQAn0SM9z8pk8Y/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002M9oGEQAZ/view"", ""Innovaworx Cloud, S de RL de CV"")",Mexico,Premier,4,"$300,000.00",87,6,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1eLJw56hHYZ3nXfYkbVQsXmhG7Tl8_GxaLSyTsOEU4D8/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h364NQAQ/view"", ""POP Media Technology"")",Mexico,Premier,10,"$3,017,989.00",0,4,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/17zGD57-jgP_ixLsp36hU2XMVcXNy2yupKUkjd6tYTSs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000015r2CqIAI/view"", ""Applaudo Studios SA de CV"")",El Salvador / Regional,Premier,0,$0.00,0,59,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Kh7DIzSHetB4Tw8XmDvrZtSJoKUWm4thCFBKOtjWvFE/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002OSgGDQA1/view"", ""UMA SALUD (DEKSIA S.A.)"")",Mexico / Uruguay,Premier,2,"$580,000.00",0,17,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1rehj42c2tZY8S4G_kFBcDcz5Yz4ai-VFhWZGDTRi4Dw/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000012duhIIAQ/view"", ""Valle Group Soluções e Entrenimento Eirelle Me"")",Brazil,Premier,1,"$10,000.00",14,2,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1zgAocYdjjHQRepCSjeINOvnBM9BnvGgOUPlBTN6IvUs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002N6nCYQAZ/view"", ""Autenticare Consultoria e Desenvolvimento de Software Ltda."")",Brazil,Premier,11,"$2,822,576.00",20,1,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1_vVSBOmGRlTplSfAQ4CQTsc8eeASM4KwnFa2duwT0mg/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 56 Partners),-,-,-,1551,"$189,614,019.07",4125,5936,-
